i,t,m,Rural
0001-001,2012-13,Mainland Rural,1
0001-001,2014-15,Mainland Rural,1
0001-004,2014-15,Mainland Rural,1
0002-001,2012-13,Mainland Rural,1
0002-001,2014-15,Mainland Rural,1
0003-001,2012-13,Mainland Rural,1
0003-001,2014-15,Mainland Rural,1
0003-010,2012-13,Dar Es Salaam,0
0004-001,2014-15,Mainland Rural,1
0005-001,2012-13,Mainland Rural,1
0005-001,2014-15,Mainland Rural,1
0006-001,2012-13,Mainland Rural,1
0007-001,2012-13,Mainland Rural,1
0007-001,2014-15,Mainland Rural,1
0008-001,2012-13,Mainland Rural,1
0008-001,2014-15,Mainland Rural,1
0009-001,2012-13,Mainland Rural,1
0009-001,2014-15,Mainland Rural,1
0010-001,2012-13,Mainland Rural,1
0010-001,2014-15,Mainland Rural,1
0011-001,2012-13,Mainland Rural,1
0011-001,2014-15,Mainland Rural,1
0011-004,2012-13,Mainland Rural,1
0012-001,2012-13,Mainland Rural,1
0012-001,2014-15,Mainland Rural,1
0012-003,2014-15,Mainland Rural,1
0013-001,2012-13,Mainland Rural,1
0013-001,2014-15,Mainland Rural,1
0014-001,2012-13,Mainland Rural,1
0014-001,2014-15,Mainland Rural,1
0014-007,2012-13,Mainland Rural,1
0015-001,2012-13,Mainland Rural,1
0015-001,2014-15,Mainland Rural,1
0016-001,2012-13,Mainland Rural,1
0016-001,2014-15,Mainland Rural,1
0017-001,2012-13,Mainland Rural,1
0017-001,2014-15,Mainland Rural,1
0017-002,2014-15,Mainland Rural,1
0018-001,2012-13,Mainland Rural,1
0018-001,2014-15,Mainland Rural,1
0019-001,2012-13,Mainland Rural,1
0019-001,2014-15,Mainland Rural,1
0019-003,2012-13,Mainland Rural,1
0020-001,2012-13,Mainland Rural,1
0020-001,2014-15,Mainland Rural,1
0021-001,2012-13,Mainland Rural,1
0021-001,2014-15,Mainland Other Urban,0
0022-001,2012-13,Mainland Rural,1
0022-001,2014-15,Mainland Rural,1
0023-001,2012-13,Mainland Rural,1
0023-001,2014-15,Mainland Rural,1
0024-001,2012-13,Mainland Rural,1
0024-001,2014-15,Mainland Other Urban,0
0025-001,2012-13,Mainland Other Urban,0
0025-001,2014-15,Mainland Rural,1
0026-001,2012-13,Mainland Rural,1
0026-001,2014-15,Mainland Rural,1
0027-001,2012-13,Mainland Rural,1
0027-001,2014-15,Mainland Other Urban,0
0028-001,2012-13,Mainland Rural,1
0028-001,2014-15,Mainland Other Urban,0
0029-001,2012-13,Mainland Rural,1
0029-001,2014-15,Mainland Other Urban,0
0030-001,2012-13,Mainland Rural,1
0030-001,2014-15,Mainland Other Urban,0
0031-001,2012-13,Mainland Rural,1
0031-001,2014-15,Mainland Other Urban,0
0032-001,2012-13,Mainland Other Urban,0
0032-001,2014-15,Mainland Other Urban,0
0033-001,2012-13,Mainland Rural,1
0033-001,2014-15,Mainland Other Urban,0
0034-001,2012-13,Mainland Rural,1
0034-001,2014-15,Dar Es Salaam,0
0034-003,2012-13,Dar Es Salaam,0
0035-001,2012-13,Mainland Other Urban,0
0036-001,2012-13,Mainland Rural,1
0036-001,2014-15,Mainland Other Urban,0
0037-001,2012-13,Mainland Rural,1
