i,t,m,0
0001-001-001,2019-20,Mainland Rural,22773.814940273292
0001-001-003,2019-20,Mainland Rural,18603.721774318736
0001-001-004,2019-20,Dar Es Salaam,30043.383643827587
0001-004-001,2019-20,Mainland Rural,25038.7603823901
0003-001-001,2019-20,Mainland Rural,59698.468635454294
0004-001-001,2019-20,Mainland Rural,42127.21237986869
0005-001-001,2019-20,Mainland Rural,42261.64808077429
0007-001-001,2019-20,Mainland Rural,36409.27111334038
0009-001-001,2019-20,Mainland Rural,31663.522744355865
0010-001-001,2019-20,Mainland Rural,22822.017925198623
0011-001-001,2019-20,Mainland Rural,20023.201397871573
0012-001-001,2019-20,Mainland Rural,121962.88958913615
0012-001-010,2019-20,Mainland Rural,15917.74274753635
0013-001-001,2019-20,Mainland Rural,38423.09872516199
0015-001-001,2019-20,Mainland Rural,48120.011489630466
0016-001-001,2019-20,Mainland Rural,30994.572245828
0016-001-002,2019-20,Mainland Rural,36048.20239521191
0017-001-001,2019-20,Mainland Rural,30359.799674704063
0017-002-001,2019-20,Mainland Other Urban,35033.9964368267
0018-001-001,2019-20,Mainland Rural,41966.05208532684
0020-001-001,2019-20,Mainland Rural,30161.915577398962
0021-001-002,2019-20,Mainland Other Urban,30255.5977635997
0024-001-001,2019-20,Mainland Other Urban,49977.45118139181
0028-001-001,2019-20,Mainland Other Urban,27627.05480299988
0029-001-001,2019-20,Mainland Other Urban,42174.28889616415
0030-001-001,2019-20,Mainland Other Urban,30974.128573432958
0031-001-001,2019-20,Mainland Other Urban,66574.80701348057
0032-001-001,2019-20,Mainland Other Urban,50741.48459399863
0034-001-001,2019-20,Dar Es Salaam,74464.45772253591
0036-001-001,2019-20,Mainland Other Urban,19749.30117500725
0038-001-001,2019-20,Mainland Other Urban,32790.171042320755
0039-001-001,2019-20,Mainland Rural,45264.11297136309
0040-001-001,2019-20,Mainland Other Urban,20105.695022919575
0041-001-001,2019-20,Mainland Other Urban,21938.605450075374
0041-004-001,2019-20,Mainland Other Urban,26825.461919871905
0042-001-001,2019-20,Dar Es Salaam,24771.69795986623
0042-001-002,2019-20,Mainland Rural,17954.093515289598
0043-001-001,2019-20,Mainland Rural,29995.85695018359
0044-001-001,2019-20,Mainland Other Urban,32505.473850992996
0045-001-001,2019-20,Mainland Rural,38793.90329049903
0046-001-001,2019-20,Mainland Rural,74401.71758174288
0047-001-001,2019-20,Mainland Other Urban,40802.14950336677
0048-001-001,2019-20,Mainland Rural,27367.756212250886
0049-001-001,2019-20,Mainland Rural,27471.05121700734
0050-001-001,2019-20,Mainland Rural,36612.608950757996
0051-001-001,2019-20,Mainland Rural,38508.0446131994
0051-001-002,2019-20,Dar Es Salaam,29403.702874346505
0051-001-003,2019-20,Dar Es Salaam,45719.172569356444
0055-001-001,2019-20,Mainland Rural,18062.45898806318
0055-003-001,2019-20,Mainland Rural,19514.90335954647
0056-001-001,2019-20,Mainland Rural,49482.50160764291
0057-001-001,2019-20,Mainland Rural,30635.340289674936
0058-001-001,2019-20,Mainland Rural,40128.346977560104
0059-001-001,2019-20,Mainland Rural,33210.95786341313
0060-001-001,2019-20,Mainland Rural,47621.699010189106
0062-001-001,2019-20,Mainland Rural,41010.78993725354
0062-001-003,2019-20,Mainland Rural,23378.710495682004
0062-001-004,2019-20,Mainland Rural,23784.07868295358
0062-004-001,2019-20,Mainland Rural,44137.34012847147
0063-001-003,2019-20,Dar Es Salaam,17336.41818319715
0065-001-001,2019-20,Mainland Rural,29529.15729083175
0066-003-003,2019-20,Mainland Rural,29694.528026228374
0066-003-006,2019-20,Mainland Other Urban,16024.057397343926
0067-001-001,2019-20,Mainland Rural,58147.87672633769
0067-001-002,2019-20,Mainland Rural,16595.325111227216
0067-004-001,2019-20,Mainland Rural,38164.14734250251
0069-002-001,2019-20,Mainland Rural,36593.6196801602
0071-001-001,2019-20,Mainland Rural,33480.70000554447
0071-001-003,2019-20,Mainland Other Urban,17011.43433083447
0072-001-001,2019-20,Mainland Other Urban,43739.847030897625
0072-003-001,2019-20,Mainland Other Urban,37799.92116024034
0073-001-001,2019-20,Mainland Rural,45328.52178870693
0073-001-002,2019-20,Mainland Rural,29653.80391255655
0074-001-001,2019-20,Mainland Rural,41168.46872056559
0075-001-003,2019-20,Mainland Rural,17449.1896334335
0077-001-001,2019-20,Mainland Rural,41986.5259211238
0077-003-001,2019-20,Mainland Rural,51367.09676421862
0078-001-001,2019-20,Mainland Rural,77015.36069198581
0079-001-001,2019-20,Mainland Rural,27799.46656728634
0080-001-001,2019-20,Mainland Rural,40361.430147215644
0081-001-001,2019-20,Mainland Rural,58041.61816458409
0081-004-001,2019-20,Mainland Rural,21494.970112694493
0082-001-001,2019-20,Mainland Rural,40693.24732218654
0082-003-001,2019-20,Mainland Other Urban,44987.58475966681
0082-003-002,2019-20,Dar Es Salaam,55213.786667358465
0082-004-001,2019-20,Mainland Other Urban,39510.09460205546
0082-005-001,2019-20,Dar Es Salaam,42249.94733034035
0083-001-001,2019-20,Mainland Rural,59577.22230308741
0084-001-001,2019-20,Mainland Rural,36403.19891439329
0084-002-001,2019-20,Mainland Rural,59173.704309448745
0085-001-001,2019-20,Mainland Rural,28043.16243753531
0085-002-001,2019-20,Mainland Other Urban,31875.20770423887
0085-003-001,2019-20,Mainland Other Urban,31796.326182048833
0086-001-001,2019-20,Dar Es Salaam,23093.598667999802
0087-001-001,2019-20,Mainland Rural,36770.5529287293
0087-001-002,2019-20,Mainland Rural,27305.113545654156
0088-001-001,2019-20,Mainland Rural,42174.166306109706
0089-001-001,2019-20,Mainland Rural,70826.26332028599
0089-002-001,2019-20,Mainland Rural,31870.65456089136
0089-002-002,2019-20,Mainland Other Urban,22134.193808066633
0090-001-001,2019-20,Mainland Rural,55169.12669732875
0090-001-005,2019-20,Mainland Other Urban,25651.331091292534
0091-001-001,2019-20,Mainland Other Urban,18843.386193976497
0092-001-001,2019-20,Mainland Other Urban,33931.6574712886
0093-001-001,2019-20,Dar Es Salaam,38971.15818990837
0096-001-001,2019-20,Mainland Other Urban,44252.94536303984
0096-002-002,2019-20,Mainland Rural,29423.152427247347
0097-001-001,2019-20,Mainland Other Urban,23469.725080779288
0097-001-003,2019-20,Mainland Other Urban,35484.727832251774
0098-001-001,2019-20,Dar Es Salaam,18158.2782685532
0099-001-001,2019-20,Mainland Rural,39589.601493686976
0099-001-004,2019-20,Dar Es Salaam,36467.1018337893
0099-001-006,2019-20,Mainland Other Urban,18456.033601439776
0099-008-001,2019-20,Mainland Rural,31179.649439558903
