i,t,m,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
0001-001-001,2019-20,Mainland Rural,30118.214654624342,745.7798440773859,1883.6107885373408,10.802374349923394,55.192650719287485,80.56614638194446,19.931170146857784,22.302540156616335,2003.308939438758,7565.575724370463,217.95232762637275,143.7784632824539
0001-001-003,2019-20,Mainland Rural,20719.071938475212,542.9158316261731,3213.471758825081,16.54604692113715,29.61455043677004,146.29509729613164,12.572097908236936,28.794868632204835,1787.044354904783,4146.0119318720845,127.4201883483428,96.96864081170179
0001-001-004,2019-20,Dar Es Salaam,27365.91625296781,739.7785093118026,7832.597211549415,32.14754158040652,24.78398482643457,425.2790369080787,14.907774158862164,53.438581337695126,3145.1068526517142,3867.5844936969024,130.15142539697987,121.92568626731301
0001-004-001,2019-20,Mainland Rural,32862.0182250573,796.2633518517848,2842.927865852924,14.634727902765906,52.56514727630166,134.2337965600873,20.50931668504835,28.547891989068287,2452.8581134129686,7420.565132942171,215.8220617018774,150.88051109658366
0003-001-001,2019-20,Mainland Rural,69755.2597854198,1695.2520861747737,7285.149481375606,31.65056477022884,92.04640554627971,395.97553363201854,40.41131075993934,66.95266972389174,5770.34930221056,13794.984210834396,404.01254188456517,311.35169091504
0004-001-001,2019-20,Mainland Rural,51560.122544111604,1193.937767209789,5950.583967780678,32.88484752807485,61.023100162991916,256.61661426650903,27.182466353723065,51.74837807895841,4334.389276233298,9392.471174101747,273.6866369612268,213.9514072394351
0005-001-001,2019-20,Mainland Rural,60412.59764857455,1380.6647083412404,4481.427617987572,21.010126653734407,93.30166384567296,228.26757265488453,36.33460623373641,38.647223906814204,3748.9768940528284,13534.374925090691,380.8096630035373,263.46521263718677
0007-001-001,2019-20,Mainland Rural,58347.50928390383,1376.4199241897106,4373.627791463309,29.64319250978276,119.97516338959794,134.30599030310515,40.46909069115111,41.98999521595601,2971.804701912005,15740.802109892407,451.31818822338107,272.50642130579445
0009-001-001,2019-20,Mainland Rural,49497.21109721199,1164.7030802928193,2088.7491248024253,10.07709464524153,101.5931926506042,106.61224350289538,34.7070176253158,22.126966401997528,2485.45267410949,13698.392314514971,384.87643901760623,234.8779637240785
0010-001-001,2019-20,Mainland Rural,28955.072900575513,730.9771095021358,2221.3363610793253,12.529094817948344,46.35791479849468,95.67258187747383,18.199332117528545,26.525689981777916,2081.4311467194034,6575.572778692563,191.66884084585578,137.3141053549147
0011-001-001,2019-20,Mainland Rural,25129.08020109381,619.9290642154185,2930.5150137521427,15.688255050686596,39.074335181033646,130.53823924664982,15.474169380502985,26.774214780517582,2073.990934137847,5458.859828274606,161.98576472751682,114.82353671778267
0012-001-001,2019-20,Mainland Rural,142013.02011450543,3074.9172465479196,16727.620278988983,52.11587867009095,139.56632493646347,1094.263169394751,71.92268004530176,103.87226896033047,12721.420704504775,24149.45077798128,676.7684679935006,561.0557145712265
0012-001-010,2019-20,Mainland Rural,18353.815479000008,474.11748870247607,2612.332561078736,14.67993546267178,27.199245989950438,108.94322316020104,11.135750146506663,24.58959763221059,1644.7393254927636,3769.788847889528,115.40879045030407,85.36443806554159
0013-001-001,2019-20,Mainland Rural,34517.37587909068,924.2790003179335,8432.664036882881,33.419262172842046,33.67761363717958,478.93931785681303,19.528803593515686,62.78055504371398,4716.660411785685,5138.381622870184,173.4427365696044,157.43493414310802
0015-001-001,2019-20,Mainland Rural,65525.553313078606,1561.766972084071,7068.260643399449,39.599162214375845,96.74966072147186,293.3573576891079,39.006933891541735,62.97665618833694,4367.77785495112,13893.58730009356,402.30282413313574,289.44339334517747
0016-001-001,2019-20,Mainland Rural,29558.922047671484,790.2178298560542,6124.502882901572,25.823622636172065,33.03102338528411,334.6966965041292,17.133075884252946,49.06075361721162,3649.802590736025,4900.958242375842,159.55452498232012,136.99934736782004
0016-001-002,2019-20,Mainland Rural,49075.801063161096,1157.671883782285,3834.61585772492,15.781809326824876,80.49457488022848,217.4934743218367,31.132767303094216,35.71173423711924,3405.6741591108885,11335.372304201532,326.14076399561895,223.26814173840808
