i,t,m,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
0001-001-001,2019-20,Mainland Rural,0.97786411212396,1.0653997772107342,0.19220518249611157,0.05143987785471767,0.2628221462717941,0.06394138601485509,1.0951192387944753,0.663766076063185,0.14309349566846544,1.3509956650120403,0.8648901889588997,0.9336263849136034
0001-001-003,2019-20,Mainland Rural,1.3453942817191697,1.5511880903604947,0.6558105630255268,0.15758139924892525,0.28204333749304794,0.2322144401525899,1.3815492206853774,1.7139802757264786,0.2552920507006833,1.480718547097173,1.0112713360979588,1.2593329975545686
0001-001-004,2019-20,Dar Es Salaam,1.7770075488940136,2.1136528837480073,1.5984892268468194,0.3061670626705383,0.23603795072794828,0.6750460903302836,1.6382169405343037,3.180867936767567,0.4493009789502449,1.3812801763203222,1.0329478206109513,1.5834504710040649
0001-004-001,2019-20,Mainland Rural,0.7112990955443876,0.7583460491309644,0.19339645339519615,0.04645945364415485,0.16687348336144697,0.07102317275954308,0.7512570211810076,0.566426428166538,0.11680276726661375,0.8834006107713519,0.5709578350006566,0.653162385482718
0003-001-001,2019-20,Mainland Rural,0.7549270541269245,0.8072628983625638,0.24779420010330003,0.05023899171023319,0.14610540566233549,0.10475543220167269,0.740133896870977,0.6642129934440539,0.13738926913158375,0.8211300127369292,0.5344081243078072,0.6739214090607041
0004-001-001,2019-20,Mainland Rural,0.6696119813830373,0.682250152987473,0.2428809783821971,0.06263780484257177,0.11623447655139442,0.08146559186600204,0.5974168431983073,0.6160521202550286,0.12383969366042452,0.6708907984413587,0.4344232334603718,0.555717941122887
0005-001-001,2019-20,Mainland Rural,0.6538159920167959,0.6574593850743371,0.1524295108506661,0.03334940739448551,0.14809787915389025,0.06038824674786828,0.6654689787916244,0.38340499916297516,0.08926135464066193,0.8056175552486471,0.5037164855692895,0.5702710231542669
0007-001-001,2019-20,Mainland Rural,0.5412570434798816,0.5618040507207531,0.12751101433542944,0.04033087416520058,0.16323151482480838,0.0304548730862889,0.6353075462070579,0.35705778246835557,0.06064907555257929,0.8031021485083205,0.5116986261319104,0.5055777761055059
0009-001-001,2019-20,Mainland Rural,0.6428209236194643,0.6655446175990957,0.08525506635547558,0.01919446599926857,0.19351084322801115,0.033845156682278034,0.762791596491915,0.26341626680479585,0.07101293357681217,0.9784565943186749,0.6109149828328273,0.6100726333143874
0010-001-001,2019-20,Mainland Rural,0.9400997694615496,1.0442530135326527,0.22666697561126023,0.05966235627355475,0.22075197522208492,0.07593062053463627,0.9999633031208559,0.7894550589498642,0.14867365333114518,1.1742094247194965,0.7605906382467403,0.8916500347364587
0011-001-001,2019-20,Mainland Rural,0.815879227275561,0.8856129488436965,0.2990321442484451,0.07470597642884862,0.186068262759374,0.10360177717573107,0.8502290868067677,0.7968516303406294,0.14814220957534102,0.9747963978671347,0.6428006536548752,0.7456073812544379
0012-001-001,2019-20,Mainland Rural,0.9221624682705185,0.8785477847227461,0.34138000569162,0.04963417016169585,0.13292030946250713,0.1736925665695612,0.7903591213722365,0.6182873152363809,0.18173458149184327,0.8624803849227676,0.5371178317376754,0.7286437851530985
0012-001-010,2019-20,Mainland Rural,1.1918061999350655,1.3546213962927889,0.5331290940977013,0.1398089091683027,0.259040437999528,0.17292575104793817,1.2237088073084244,1.4636665257268209,0.2349627607846805,1.3463531599605458,0.9159427813516197,1.1086290657862543
0013-001-001,2019-20,Mainland Rural,2.2413880440967975,2.6407971437655244,1.7209518442618124,0.3182786873604005,0.3207391774969484,0.7602211394552588,2.1460223729138113,3.7369378002210705,0.673808630255098,1.8351362938822087,1.3765296553143207,2.0446095343260784
0015-001-001,2019-20,Mainland Rural,0.47276734008015553,0.4957990389235452,0.16027801917859263,0.04190387537321676,0.1023805933904772,0.051738511073675546,0.47627513925099657,0.4165122765179293,0.06932980724475638,0.5513328295541609,0.3547643952984107,0.4176672344047532
0016-001-001,2019-20,Mainland Rural,1.9194105225760703,2.257765228160155,1.249898547530933,0.2459392632016387,0.31458117509794387,0.531264597625602,1.8827555916761478,2.9202829534054535,0.5214003701051464,1.7503422294199436,1.2663057538279374,1.7792123034781824
0016-001-002,2019-20,Mainland Rural,0.6373480660320119,0.6615267910199033,0.15651493303630726,0.030060589207001456,0.15332299983842132,0.06904554743373038,0.6842366443210761,0.4251396934835919,0.09730497601683695,0.8096694506515872,0.517683752598725,0.5799172515203347
0017-001-001,2019-20,Mainland Rural,0.5760709020359491,0.6101592068633639,0.12506046849197638,0.03167938490209619,0.15322133846350086,0.04328381333512859,0.6482796656496174,0.3907366279868485,0.0780023534057926,0.7873303860877817,0.502833591312282,0.5411798392841817
0017-002-001,2019-20,Mainland Other Urban,0.7002427414307653,0.7685615683965545,0.2788267247303906,0.07344720677856395,0.12996612133143265,0.08967277308797783,0.6648915239472127,0.7821509006805271,0.12171314982068882,0.7236105294719182,0.480861160273392,0.6232333418723189
0018-001-001,2019-20,Mainland Rural,0.5970937396404346,0.6304719408866771,0.17315809157592735,0.04994387918319213,0.13590153041522415,0.04982910518782102,0.6104889129195149,0.5182342485865445,0.0903539230576663,0.7185726475369261,0.465192544677486,0.5359924906795475
0020-001-001,2019-20,Mainland Rural,0.521863869995508,0.532639153901355,0.046015966000470955,0.014211032312681343,0.17446063992743294,0.011861125957320987,0.6513145494464042,0.1618592783494895,0.03893915177887462,0.8599273912917976,0.5330883993073114,0.5016588603274315
0021-001-002,2019-20,Mainland Other Urban,0.47019087926619396,0.49922544327888924,0.11693196607298455,0.03483228195782594,0.11703143218519897,0.031851730658597775,0.5044853570142291,0.37024655400261625,0.06283530221008152,0.6079151476469901,0.3900798686800085,0.43272371754227396
0024-001-001,2019-20,Mainland Other Urban,0.578893263991418,0.6334999795161314,0.16215105087324716,0.03862855425586426,0.1008199583024412,0.0594250962767381,0.5460770140150419,0.5393194070217976,0.0898598783991681,0.5940058259026704,0.3840286136820336,0.5219828413394016
0028-001-001,2019-20,Mainland Other Urban,0.4997548731342116,0.5405449937869627,0.12439888464599184,0.039493577048630206,0.11442907388551546,0.029704798492498633,0.51113912721764,0.42282444097189503,0.06176030719205176,0.6102824320992802,0.39104566893311216,0.4571423403247587
0029-001-001,2019-20,Mainland Other Urban,0.48894844603361176,0.505301765862531,0.14138710128219875,0.0374145340962748,0.10904016774022438,0.044709873902767976,0.49415997499936337,0.3705109461652651,0.06190691223642087,0.5894017739113643,0.3727142008169012,0.43018826185402753
0030-001-001,2019-20,Mainland Other Urban,0.7771518525976145,0.8746348653687432,0.304433845354701,0.08416059325257554,0.1484648532136366,0.0933328023895751,0.7461432562337424,0.9237154550730827,0.15049307170858484,0.8147256727709626,0.5504136533933565,0.7092161473319463
0031-001-001,2019-20,Mainland Other Urban,0.7081831333567535,0.7791763721499965,0.3194952501167676,0.07657984753810605,0.10855132497323394,0.1144023859124022,0.6451208444364999,0.8888871393833646,0.13542649106279603,0.6402718916097642,0.4362875273037876,0.6243036597039777
0032-001-001,2019-20,Mainland Other Urban,2.7601074170347517,3.4747362773389985,2.4600512162456862,0.4745606710598939,0.3195134665776535,1.0477659348970496,2.5832528613238845,5.633137048756727,0.8394917758702857,1.9152043142302169,1.5511764330768718,2.608444258667747
