,median_adequacy_ratio,pct_meeting_RDA,pct_meeting_75pct_RDA,pct_meeting_50pct_RDA,RDA_per_person_per_day
Vitamin E,0.14092607027034093,0.0,0.0,0.06793478260869565,15.0
Vitamin D,0.05427458111426144,0.06793478260869565,0.1358695652173913,0.1358695652173913,15.0
Calcium,0.11102257164307125,0.1358695652173913,0.20380434782608695,0.7472826086956522,1000.0
Vitamin C,0.06785093321906449,0.20380434782608695,0.4076086956521739,1.0190217391304348,90.0
Vitamin A,0.20879665563284,1.9021739130434785,4.415760869565218,12.228260869565217,700.0
Iron,0.4958564874663901,3.532608695652174,11.209239130434783,48.98097826086957,18.0
Zinc,0.5934727627864531,9.375,22.96195652173913,75.67934782608695,11.0
Vitamin B-6,0.6592221642645739,10.529891304347826,29.6195652173913,86.34510869565217,1.3
Energy,0.6576766593636818,12.567934782608695,34.03532608695652,86.61684782608695,2200.0
Magnesium,0.7601072325567145,16.372282608695652,53.05706521739131,90.01358695652173,400.0
Protein,0.7135556163822241,18.070652173913043,44.08967391304348,91.03260869565217,50.0
Vitamin B-12,0.6207724478030945,22.96195652173913,37.63586956521739,63.79076086956522,2.4
